"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"19","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\InvoicePDFController.cls","45","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"20","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSAllCertificatesController.cls","18","61","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"21","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSAllCertificatesController.cls","30","43","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"22","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSAllCertificatesController.cls","38","54","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"23","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSAllCertificatesController.cls","49","53","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"24","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCertificateController.cls","29","32","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"25","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCertificateController.cls","35","30","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"26","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCertificateController.cls","40","32","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"27","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatController.cls","22","36","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"28","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatController.cls","40","28","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"29","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatController.cls","115","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"30","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatController.cls","119","25","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"31","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatController.cls","156","23","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"32","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatController.cls","188","49","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"33","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatController.cls","202","48","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"34","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","10","55","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"35","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","16","59","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"36","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","34","35","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"37","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","49","50","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"38","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","60","48","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"39","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","109","39","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"40","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","112","55","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"41","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","129","44","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"42","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSChatterGroupController.cls","142","38","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"43","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDashboardController.cls","22","37","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"44","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","8","44","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"45","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","15","44","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"46","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","43","18","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"47","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","45","45","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"48","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","49","39","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"49","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","58","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"50","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","67","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"51","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","76","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"52","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","88","37","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"53","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseDetailPageController.cls","92","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"54","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","12","28","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"55","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","16","28","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"56","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","18","32","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"57","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","35","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"58","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","64","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"59","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","80","31","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"60","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","86","59","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"61","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","113","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"62","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","120","46","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"63","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","126","43","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"64","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","128","40","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"65","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","143","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"66","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","156","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"67","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","188","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"68","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementController.cls","206","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"69","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementStatusReport.cls","1","1","ApexSharingViolations","Apex classes should declare a sharing model if DML or SOQL/SOSL is used","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexsharingviolations","Security","pmd"
"70","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollementStatusReport.cls","4","38","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"71","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollmentStatusReport.cls","10","46","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"72","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSCourseEnrollmentStatusReport.cls","21","45","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"73","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","20","28","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"74","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","25","41","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"75","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","38","28","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"76","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","40","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"77","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","41","56","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"78","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","53","28","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"79","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","55","27","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"80","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","66","57","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"81","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","131","24","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"82","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSDashboardController.cls","133","57","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"83","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","20","28","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"84","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","25","53","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"85","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","27","51","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"86","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","61","37","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"87","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","67","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"88","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","71","42","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"89","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","77","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"90","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","94","37","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"91","3","C:\Users\bshao\Desktop\LMS\LMS\force-app\main\default\classes\LMSExternaluserProfileController.cls","160","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.9.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
